"Lake_Name","WBIC","PARAM","Year","Date","Time","Level","Change_in_Level"
"Underwood Lake",519700,92014,"2019","05/07/2019","0:00",829.66,0
"Underwood Lake",519700,92014,"2015","08/24/2015","0:00",829.07,-0.179831999999976
"Underwood Lake",519700,92014,"2015","11/09/2015","0:00",828.99,-0.204216000000002
"Underwood Lake",519700,92014,"2018","05/08/2018","0:00",829.6,-0.0182879999999841
"Underwood Lake",519700,92014,"2018","10/16/2018","0:00",829.35,-0.0944879999999841
"Underwood Lake",519700,92014,"2017","10/19/2017","0:00",829.54,-0.0365759999999966
"Underwood Lake",519700,92014,"2017","05/12/2017","0:00",829.59,-0.0213359999999909
"Underwood Lake",519700,92014,"2016","11/16/2016","0:00",829.31,-0.106680000000011
"Underwood Lake",519700,92014,"2016","04/26/2016","0:00",829.76,0.0304800000000114
